CourseId,Course Name,Provider,Course Level,Pathway,Link
1,PG-Cert Big Data Analytics,University of Derby,7,Digital,https://www.derby.ac.uk/postgraduate/computing-courses/big-data-analytics-msc/
2,BA (Hons) Computer Games Modelling and Animation,University of Derby,6,Digital,https://www.derby.ac.uk/undergraduate/computing-courses/computer-games-modelling-and-animation-ba-hons/
3,MSc Control and Instrumentation ,University of Derby,7,Engineering,https://www.derby.ac.uk/postgraduate/electrical-electronic-engineering-courses/control-instrumentation-msc/
4,BSc AI and Data Science,University of Derby,6,Digital,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-and-data-science-bsc-hons/
5,BSc. Internet of Things,University of Derby,6,Digital,https://www.derby.ac.uk/undergraduate/artificial-intelligence-courses/artificial-intelligence-and-data-science-bsc-hons/
6,BTEC (HNC) Engineering ,Loughborough College,4,Engineering,https://www.loucoll.ac.uk/undergraduate-study/courses/hnc-in-engineering-for-england-htq
7,Higher Apprenticeship Electical Power Networks Engineering ,Loughborough College,4,Engineering,https://www.loucoll.ac.uk/courses/higher-apprenticeship-level-4-in-electrical-power-networks-engineer
8,Higher Apprenticeship - Automation and Controls Engineering Technician ,Loughborough College,4,Engineering,https://www.loucoll.ac.uk/courses/higher-apprenticeship-level-4-in-automation-and-controls-engineering-technician
9,Higher Apprenticeship - Engineering Manufacturing Technician ,Loughborough College,4,Engineering,https://www.loucoll.ac.uk/courses/higher-apprenticeship-level-4-in-engineering-manufacturing-technician
10,Higher Apprenticeship - Propulsion Technician ,Loughborough College,4,Engineering,https://www.loucoll.ac.uk/courses/higher-apprenticeship-level-4-in-propulsion-technician
11,BTEC (HND) Computer and Systems Development Network Engineering,Loughborough College,5,Digital,https://www.loucoll.ac.uk/undergraduate-study/courses/higher-technical-qualification-in-cert-he-technical-practice-in-network-engineering
12,BTEC (HND) Engineering ,Loughborough College,5,Engineering,https://www.loucoll.ac.uk/undergraduate-study/
13,BA (Hons) in Business and Management,Loughborough College,6,Leadership & Management,https://www.loucoll.ac.uk/undergraduate-study/courses/ba-hons-in-business-and-management
14,BSc H Engineering (Mechanical) (Top-up),Loughborough College,6,Engineering,https://www.loucoll.ac.uk/undergraduate-study/courses/beng-hons-top-up-in-engineering-mechanical
15,BSc H Engineering (Electical and Electronic) (Top-up),Loughborough College,6,Engineering,https://www.loucoll.ac.uk/undergraduate-study/courses/beng-hons-top-up-in-engineering-electrical-electronic
