ProgressionID,FromCourseID,ToCourseID,Notes
1,17,29,"T-Level Digital accepts ""Level 3 Certificate or Diploma in a relevant digital/IT subject"""
2,17,4,"BSc AI & Data Science accepts ""Merit in Science, Technology, Engineering or Maths at T Level"""
3,17,5,"BSc Internet of Things accepts ""Merit in Science, Technology, Engineering or Maths at T Level"""
4,18,29,"FD Software Development accepts ""Level 3 Certificate or Diploma in a relevant digital/IT subject"""
5,18,4,"BSc AI & Data Science accepts ""Merit in Science, Technology, Engineering or Maths at T Level"""
6,18,5,"BSc Internet of Things accepts ""Merit in Science, Technology, Engineering or Maths at T Level"""
7,19,25,"HNC Construction Management accepts ""Level 3 qualification in Construction"""
8,19,26,"HNC Modern Methods of Construction accepts ""Level 3 qualification in Construction"""
9,20,25,"HNC Construction Management explicitly mentions ""T-Level in Construction"""
10,20,26,"HNC Modern Methods of Construction explicitly mentions ""T-Level in Construction"""
11,21,24,"HNC Engineering accepts ""Level 3 qualification in a relevant subject"""
12,22,25,"HNC Construction Management accepts ""T-Level in Construction"""
13,22,26,"HNC Modern Methods of Construction accepts ""Level 3 qualification in Construction"""
14,23,24,"HNC Engineering accepts ""Level 3 qualification in Engineering"""
15,23,6,"BTEC (HNC) Engineering accepts ""Level 3 qualification in Engineering"""
16,6,12,BTEC (HNC) Engineering ? BTEC (HND) Engineering (direct progression)
17,6,30,BTEC (HNC) Engineering ? FD Integrated Engineering (cross-institution)
18,6,14,BTEC (HNC) Engineering ? BSc Engineering (Mechanical) (with additional requirements)
19,6,15,BTEC (HNC) Engineering ? BSc Engineering (Electrical) (with additional requirements)
20,6,16,BTEC (HNC) Engineering ? BSc Sustainable Engineering (with additional requirements)
21,7,12,Higher Apprenticeship (Electrical) ? BTEC (HND) Engineering (with employer support)
22,8,12,Higher Apprenticeship (Automation) ? BTEC (HND) Engineering (with employer support)
23,9,12,Higher Apprenticeship (Manufacturing) ? BTEC (HND) Engineering (with employer support)
24,10,12,Higher Apprenticeship (Propulsion) ? BTEC (HND) Engineering (with employer support)
25,24,12,HTQ/HNC Engineering ? BTEC (HND) Engineering (cross-institution)
26,24,30,HTQ/HNC Engineering ? FD Integrated Engineering (within institution)
